"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds",162,0.519528112920316,2.17756879710837,1.11394900944152e-10,2.92077430275565e-07,2.57732623447627e-07,811,"tags=56%, list=28%, signal=42%","CAVIN3/AFG1L/NDUFC1/SDHC/UQCR10/COX7C/NDUFA4/COX6A2/NDUFB1/NDUFA7/ATP5MG/UQCRQ/GPD1/PHKB/PNPT1/ATP5PO/ACO2/UQCRC2/CYC1/DLD/ACTN3/MDH2/NDUFA5/PHKG1/ATP5F1B/NDUFA6/NDUFS4/ETFDH/FH/NDUFV1/ATP5ME/COX7A1/MRPS36/PDHA1/PDHB/GBE1/SDHB/COX5B/SDHA/SOD2/SUCLG1/DLST/COX5A/DLAT/ATP5PF/ACO1/ATP5F1D/CHCHD10/ETFB/SUCLA2/UQCRFS1/NDUFB7/SHMT2/NDUFA12/NDUFB10/MTOR/ETFA/PHKA1/NDUFA8/IDH2/NDUFS6/PPP1R3D/COA6/UQCRH/NDUFV3/COX6B1/NDUFS7/COX7A2L/SUCLG2/NDUFB11/NDUFB8/UQCRB/ACADM/NDUFA10/UQCC3/TIGAR/ATP5F1A/NDUFA2/NDUFS1/NDUFV2/UQCRC1/NDUFA11/NDUFS3/COQ10A/PARK7/TRAP1/ADSL/VCP/CS/RHOA"
"GO:0006412","GO:0006412","translation",310,0.424878024154156,1.9162366109036,1.05832745937389e-09,8.83869467606223e-07,7.79937006623501e-07,970,"tags=47%, list=34%, signal=35%","YBX1/GIGYF2/MRPL38/TNKS1BP1/MRPL4/MTFMT/PELO/RPS17/CAPRIN1/RPL3/MRPL43/GAPDH/RBM3/NDUFA7/CELF1/RPS29/ROCK1/RPL38/RPS7/MRPL19/MRPS31/RPS28/KHDRBS1/RPS13/GADD45GIP1/RPS15A/MRPL53/PNPT1/MRPL3/EEF1A2/RPS26/SARNP/LRRC47/EIF2S2/MRPS25/MRPS14/RPS14/RPL22/EEF1A1/MTPN/TRMT10C/PABPC4/RPS19/MRPS7/EEF1G/RPS11/TACO1/MRPL12/YARS1/LSM14A/RPS10/RPL18A/RPS20/TSFM/PDF/ACO1/RPL24/RPS27/MRPS17/SARS1/YBX3/AIMP2/TUFM/MRPS30/AARSD1/SYNCRIP/RPL12/SHMT2/PTCD3/MTOR/EIF3G/RPS25/MRPL37/EIF4A1/FECH/MRPL40/HNRNPR/EEF1D/MRPL30/EIF3F/MRPS23/SSB/MRPL46/MRPL48/CIRBP/EIF3A/MRPS28/RPL23/RPLP2/LTN1/LSM14B/EIF3L/RPS3A/SERBP1/EIF3J/PKM/MRPS5/ETF1/RWDD1/NARS1/CARS1/CALR/EIF5A/MTIF2/LARP4/GATC/MTRF1L/RPL10/MCTS1/EEF1B2/EEF2/PDE12/LARS2/RBM8A/MRPL13/TRAP1/EIF3M/YARS2/WARS1/EIF4G1/EIF4G2/TPR/RCC1L/EIF2B5/RPL3L/RPL8/NCL/EIF4A2/RPS9/NARS2/EEF2K/LRPPRC/C1QBP/MRPL50/ABCE1/IARS1/MAGOH/CSNK2A1/RPL27A/MSI2/MRPL47/RPSA/RPS23/FARSA/DHPS"
"GO:0043043","GO:0043043","peptide biosynthetic process",317,0.423435530979994,1.91334477048166,1.60027757647938e-09,8.83869467606223e-07,7.79937006623501e-07,970,"tags=46%, list=34%, signal=34%","YBX1/GGT5/GIGYF2/MRPL38/TNKS1BP1/MRPL4/MTFMT/PELO/RPS17/CAPRIN1/RPL3/MRPL43/GAPDH/RBM3/NDUFA7/CELF1/RPS29/ROCK1/RPL38/RPS7/MRPL19/MRPS31/RPS28/KHDRBS1/RPS13/GADD45GIP1/RPS15A/MRPL53/PNPT1/MRPL3/EEF1A2/RPS26/SARNP/LRRC47/EIF2S2/MRPS25/MRPS14/RPS14/RPL22/EEF1A1/MTPN/TRMT10C/PABPC4/RPS19/MRPS7/EEF1G/RPS11/TACO1/MRPL12/YARS1/LSM14A/RPS10/RPL18A/RPS20/TSFM/PDF/ACO1/RPL24/RPS27/MRPS17/SARS1/YBX3/AIMP2/TUFM/MRPS30/AARSD1/SYNCRIP/RPL12/SHMT2/CARNS1/PTCD3/MTOR/EIF3G/RPS25/MRPL37/EIF4A1/FECH/MRPL40/HNRNPR/EEF1D/MRPL30/EIF3F/MRPS23/SSB/MRPL46/MRPL48/CIRBP/EIF3A/MRPS28/RPL23/RPLP2/LTN1/LSM14B/EIF3L/RPS3A/SERBP1/EIF3J/PKM/MRPS5/ETF1/RWDD1/NARS1/CARS1/CALR/EIF5A/MTIF2/LARP4/GATC/MTRF1L/RPL10/MCTS1/EEF1B2/EEF2/PDE12/LARS2/RBM8A/MRPL13/TRAP1/EIF3M/YARS2/WARS1/EIF4G1/EIF4G2/TPR/RCC1L/EIF2B5/RPL3L/RPL8/NCL/EIF4A2/RPS9/NARS2/EEF2K/LRPPRC/C1QBP/MRPL50/ABCE1/IARS1/MAGOH/CSNK2A1/RPL27A/MSI2/MRPL47/RPSA/RPS23/FARSA/DHPS"
"GO:0045109","GO:0045109","intermediate filament organization",17,-0.858423570064108,-2.47896660104071,1.07213223221235e-08,3.51391339107596e-06,3.10071927158255e-06,117,"tags=65%, list=4%, signal=62%","KRT2/DSP/KRT1/KRT10/KRT14/KRT9/KRT5/KRT16/KRT6B/KRT17/KRT6A"
"GO:0043588","GO:0043588","skin development",44,-0.682263949297052,-2.45361310803258,1.45224565247701e-08,4.23087566754968e-06,3.73337537326837e-06,154,"tags=43%, list=5%, signal=41%","IL18/JUP/TSG101/CTNNB1/KRT2/COL1A1/DSP/CSTA/KRT1/KRT10/KRT14/KRT9/KRT5/KRT16/CASP14/KRT6B/KRT17/KRT6A/S100A7"
"GO:0007155","GO:0007155","cell adhesion",248,-0.371852306398901,-1.82564062382663,1.77576085147037e-07,3.25799122123597e-05,2.87489048306904e-05,570,"tags=35%, list=20%, signal=31%","CD63/BCAM/SPARCL1/POSTN/TGFBI/RRAS/COL6A3/CD44/APOA4/FGB/UTRN/DST/CD81/PALLD/CD93/TPM1/ITGA8/PPIA/HSPH1/DUSP22/SCN1B/SMARCC2/FERMT2/STAT5B/FGA/ADA/PECAM1/GPC4/THBS4/ANXA1/LAMB2/S100A10/HRG/PLG/FAF1/NID1/LAMC1/MYBPC1/PML/SPTA1/DPT/CD36/CD34/VTN/CRK/PXN/ADIPOQ/PNN/EGFLAM/KNG1/PPP2CA/FLOT1/LAMA2/PDLIM1/COL6A6/TLN2/LAMA4/MCAM/CSK/IL18/S100A11/JUP/APOA1/LAMB1/CTNNB1/APOD/AMBP/COL1A1/TJP1/DSC1/DSP/MIA3/CSTA/ATP2A2/ARG1/TNXB/CTSG/S100A9/TFRC/LRG1/DSG1/S100A8/ASS1/SLK/AZGP1/CYTH1/ACHE/SAA1"
"GO:0006952","GO:0006952","defense response",286,-0.357172261268106,-1.77721459366486,1.81384088946025e-07,3.25799122123597e-05,2.87489048306904e-05,409,"tags=24%, list=14%, signal=23%","STAT5B/SERPING1/FGA/LAMP1/OPTN/ADA/CDC37/C3/MKRN2/AHSG/ANXA1/HRG/CHID1/APOE/IGHG3/RFTN1/JCHAIN/APCS/PML/IGHG2/SERPINA3/CD36/CRK/ADIPOQ/IGKV3-20/MPO/PLGRKT/KNG1/PPP2CA/CFH/ILF3/CMA1/FLOT1/TMED1/ITIH4/NT5C2/CFB/FABP4/IL18/RPL13A/HPX/AGT/APOA1/TF/APOD/SNCA/A2M/SERPINA1/CTSC/KRT1/ARG1/HLA-C/CFHR1/CTSG/KRT16/S100A9/TFRC/UFL1/S100A8/AP1G1/LYZ/ASS1/KRT6A/DEFA1B/S100A7/LTF/IGHM/DCD/SAA1"
"GO:0009605","GO:0009605","response to external stimulus",430,-0.315005969202619,-1.65808576395408,5.06227136608496e-07,6.63663776093739e-05,5.85624866455513e-05,409,"tags=22%, list=14%, signal=22%","STAT5B/SERPING1/FGA/LAMP1/SESN1/PSMA2/OPTN/ADA/CDC37/C3/MKRN2/SERPINC1/AHSG/APOH/THBS4/ANXA1/CAT/HRG/DCTPP1/PLG/IMPACT/CHID1/APOE/IGHG3/RFTN1/JCHAIN/MEAK7/APCS/PML/IGHG2/CD36/NMT1/PLIN2/VTN/CRK/ADIPOQ/IGKV3-20/SLC2A1/GBF1/MPO/MCU/GCN1/PLGRKT/KNG1/PPP2CA/CFH/ILF3/CMA1/FLOT1/TMED1/NT5C2/TTN/CFB/FABP4/IL18/MAOB/RPL13A/HPX/AGT/JUP/APOA1/CTNNB1/TF/GABARAP/COL1A1/SNCA/LAMP2/A2M/SRP54/SERPIND1/CTSC/KRT1/ARG1/HLA-C/KRT5/PDK4/CFHR1/CTSG/KRT16/S100A9/TFRC/LRG1/UFL1/S100A8/AP1G1/LYZ/ASS1/KRT6A/DEFA1B/S100A7/LTF/IGHM/DCD/SAA1"
"GO:0006959","GO:0006959","humoral immune response",48,-0.618783860354346,-2.28214161661793,5.57367822967455e-07,6.95913538962222e-05,6.14082443550108e-05,405,"tags=48%, list=14%, signal=42%","SERPING1/FGA/C3/HRG/IGHG3/JCHAIN/IGHG2/IGKV3-20/CFH/CFB/HPX/TF/A2M/KRT1/CFHR1/CTSG/S100A9/LYZ/KRT6A/DEFA1B/S100A7/LTF/IGHM"
"GO:0001895","GO:0001895","retina homeostasis",23,-0.731650486822914,-2.32113000699101,5.02293741351181e-06,0.000428067906074737,0.000377732248405104,308,"tags=61%, list=11%, signal=55%","IGHG3/JCHAIN/IGKC/POTEI/SLC2A1/POTEJ/POTEF/TF/KRT1/LCN1/LYZ/AZGP1/LTF/PIP"
